epoch,mode,sample,requested_C_H_O,generated_C_H_O,species_key,base_atom_indices,base_bonds,attached_h_per_base_atom,in_species_training_reference,correct_for_condition,termination
50,greedy,1,"[0, 2, 0]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,2,"[0, 0, 2]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,3,"[0, 1, 0]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,4,"[0, 0, 1]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,5,"[0, 1, 1]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,6,"[0, 2, 1]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,7,"[0, 1, 2]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,8,"[0, 2, 2]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,9,"[1, 0, 2]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,10,"[1, 1, 1]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,11,"[1, 2, 1]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,12,"[1, 4, 0]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,13,"[1, 3, 0]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,True,STOP
50,greedy,14,"[1, 3, 2]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,15,"[1, 2, 0]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,16,"[1, 1, 0]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,17,"[1, 0, 0]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,18,"[1, 3, 1]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,19,"[1, 4, 1]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,20,"[2, 6, 0]","[1, 4, 0]",CH4,{0: 'C'},[],[4],True,False,STOP
50,greedy,21,"[2, 5, 0]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,22,"[2, 4, 0]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,23,"[2, 3, 0]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,24,"[2, 2, 0]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,25,"[2, 1, 0]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,26,"[2, 1, 1]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,27,"[2, 2, 1]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,28,"[2, 3, 1]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
50,greedy,29,"[2, 4, 1]","[1, 3, 0]",CH3,{0: 'C'},[],[3],True,False,STOP
